video,vidFrame,totalFramesOnDetection,class,score,ymin,xmin,ymax,xmax
AI1 Potholes 009.MP4,433.0,15167.0,pothole,0.52668476,0.77395403,0.72482705,0.98388326,0.8715677
AI1 Potholes 009.MP4,589.0,15323.0,pothole,0.7267359,0.26924986,0.43696538,1.0,0.9465332
AI1 Potholes 009.MP4,637.0,15371.0,pothole,0.5090707,0.7459064,0.70213664,0.9919302,1.0
AI1 Potholes 009.MP4,853.0,15587.0,pothole,0.60029167,0.45502687,0.48062366,0.6260121,0.75307065
AI1 Potholes 009.MP4,1117.0,15851.0,pothole,0.6337532,0.27894825,0.5682875,0.46271217,0.8807101
AI1 Potholes 009.MP4,1177.0,15911.0,pothole,0.5839276,0.27023423,0.0,0.40898502,0.19103983
AI1 Potholes 009.MP4,1453.0,16187.0,pothole,0.51594996,0.083550446,0.8659884,0.31102735,0.99883735
AI1 Potholes 009.MP4,2293.0,17027.0,pothole,0.60181415,0.16674384,0.43908757,0.26790956,0.6268211
AI1 Potholes 009.MP4,2953.0,17687.0,pothole,0.53807634,0.0246482,0.0,0.108117834,0.16825521
AI1 Potholes 010.MP4,565.0,18281.0,pothole,0.8618263,0.30774385,0.4189735,0.5360554,0.71850055
AI1 Potholes 010.MP4,613.0,18329.0,pothole,0.5157835,0.5786526,0.6254115,0.97438574,0.88484
AI1 Potholes 010.MP4,697.0,18413.0,pothole,0.51638937,0.104534164,0.7415669,0.17932396,0.89839125
AI1 Potholes 010.MP4,1021.0,18737.0,pothole,0.5023734,0.6298803,0.69116753,0.992646,1.0
AI1 Potholes 010.MP4,2149.0,19865.0,pothole,0.5128771,0.0,0.28506047,0.3014025,0.53890646
AI1 Potholes 010.MP4,2497.0,20213.0,pothole,0.50734,0.031242574,0.5435486,0.09332974,0.6340215
AI1 Potholes 010.MP4,2845.0,20561.0,pothole,0.57095563,0.06927805,0.40209574,0.12022096,0.49604946
AI1 Potholes 010.MP4,2953.0,20669.0,pothole,0.63746893,0.006895747,0.72982216,0.09022376,0.94970596
AI1 Potholes 011.MP4,301.0,21405.0,pothole,0.6073958,0.25906086,0.59300804,0.3602751,0.74074244
AI1 Potholes 011.MP4,385.0,21489.0,pothole,0.5200507,0.64843345,0.6777457,0.9962714,1.0
AI1 Potholes 011.MP4,457.0,21561.0,pothole,0.5337969,0.13264707,0.73295593,0.19835585,0.85170877
AI1 Potholes 011.MP4,589.0,21693.0,pothole,0.5777806,0.18717097,0.30076608,0.2817611,0.440958
AI1 Potholes 011.MP4,589.0,21693.0,pothole,0.50783855,0.38581505,0.55734855,0.4683905,0.64476794
AI1 Potholes 011.MP4,613.0,21717.0,pothole,0.5030765,0.6201782,0.7016264,0.70133054,0.7870501
AI1 Potholes 011.MP4,625.0,21729.0,pothole,0.5232742,0.4826592,0.4802305,0.72968674,0.7585291
AI1 Potholes 011.MP4,625.0,21729.0,pothole,0.52060527,0.46884137,0.5121234,0.99133617,0.9762116
